date,GOOGLSMA,GOOGLClose,EBAYSMA,EBAYClose
2019-12-30 14:10:00,1341.7337,1362.172,35.8657,36.26
2019-12-30 14:15:00,1341.4942,1361.655,35.8612,36.255
2019-12-30 14:20:00,1341.2907,1361.1609,35.8573,36.235
2019-12-30 14:25:00,1341.0379,1361.86,35.8536,36.23
2019-12-30 14:30:00,1340.7959,1361.06,35.849000000000004,36.21
2019-12-30 14:35:00,1340.6439,1360.02,35.8432,36.2
2019-12-30 14:40:00,1340.5807,1360.13,35.8397,36.24
2019-12-30 14:45:00,1340.4992,1358.24,35.8361,36.225
2019-12-30 14:50:00,1340.5054,1358.67,35.8345,36.25
2019-12-30 14:55:00,1340.4942,1358.33,35.8326,36.24
2019-12-30 15:00:00,1340.5107,1357.92,35.8306,36.245
2019-12-30 15:05:00,1340.5428,1358.79,35.8288,36.28
2019-12-30 15:10:00,1340.5173,1358.4301,35.827,36.25
2019-12-30 15:15:00,1340.5393,1358.25,35.8273,36.245
2019-12-30 15:20:00,1340.5691,1359.37,35.828,36.23
2019-12-30 15:25:00,1340.5726,1358.65,35.8288,36.285
2019-12-30 15:30:00,1340.5745,1358.9,35.8289,36.3
2019-12-30 15:35:00,1340.5773,1359.09,35.8301,36.3
2019-12-30 15:40:00,1340.5755,1360.28,35.8311,36.28
2019-12-30 15:45:00,1340.5874,1359.6,35.8321,36.27
2019-12-30 15:50:00,1340.6058,1359.42,35.8323,36.29
2019-12-30 15:55:00,1340.5991,1357.63,35.832,36.355
2019-12-30 16:00:00,1340.6018,1356.615,35.832,36.355
2019-12-31 09:35:00,1340.5363,1356.905,35.8295,36.35
2019-12-31 09:40:00,1340.5297,1356.76,35.8279,36.33
2019-12-31 09:45:00,1340.4678,1355.52,35.8257,36.345
2019-12-31 09:50:00,1340.4198,1355.6949,35.825,36.37
2019-12-31 09:55:00,1340.3059,1354.9946,35.8238,36.365
2019-12-31 10:00:00,1340.2496,1355.55,35.8221,36.35
2019-12-31 10:05:00,1340.1944,1355.29,35.8197,36.35
2019-12-31 10:10:00,1340.1196,1354.3301,35.8167,36.33
2019-12-31 10:15:00,1340.0315,1353.4952,35.8141,36.295
2019-12-31 10:20:00,1339.9470000000001,1354.5386,35.812,36.3
2019-12-31 10:25:00,1339.8727,1353.165,35.8097,36.305
2019-12-31 10:30:00,1339.7808,1355.51,35.808,36.405
2019-12-31 10:35:00,1339.7123,1356.0,35.8057,36.395
2019-12-31 10:40:00,1339.6308,1354.08,35.8031,36.365
2019-12-31 10:45:00,1339.557,1355.1899,35.8004,36.375
2019-12-31 10:50:00,1339.4803,1354.3051,35.797,36.36
2019-12-31 10:55:00,1339.4136,1354.62,35.7935,36.36
2019-12-31 11:00:00,1339.3162,1353.4086,35.7901,36.37
2019-12-31 11:05:00,1339.231,1351.3,35.7861,36.335
2019-12-31 11:10:00,1339.1597,1350.8,35.7818,36.29
2019-12-31 11:15:00,1339.085,1350.8562,35.7775,36.27
2019-12-31 11:20:00,1339.0027,1350.4465,35.7736,36.23
2019-12-31 11:25:00,1338.9119,1350.9099,35.7697,36.2212
2019-12-31 11:30:00,1338.7841,1352.22,35.7652,36.21
2019-12-31 11:35:00,1338.6565,1351.1,35.7613,36.22
2019-12-31 11:40:00,1338.5408,1354.02,35.7582,36.26
2019-12-31 11:45:00,1338.441,1354.39,35.7552,36.32
2019-12-31 11:50:00,1338.3809,1356.515,35.7524,36.4062
2019-12-31 11:55:00,1338.3120000000001,1357.8199,35.7503,36.425
2019-12-31 12:00:00,1338.2457,1360.58,35.7487,36.44
2019-12-31 12:05:00,1338.1812,1359.6949,35.7472,36.435
2019-12-31 12:10:00,1338.1234,1357.89,35.7457,36.475
2019-12-31 12:15:00,1338.0463,1357.955,35.7446,36.485
2019-12-31 12:20:00,1337.9484,1359.67,35.7448,36.42
2019-12-31 12:25:00,1337.8583,1354.4351,35.7443,36.3513
2019-12-31 12:30:00,1337.7499,1338.13,35.7441,36.11
2019-12-31 12:35:00,1337.6549,1339.13,35.7443,36.11
2019-12-31 12:40:00,1337.57,1336.21,35.7451,36.03
2019-12-31 12:45:00,1337.4826,1336.47,35.7461,36.06
2019-12-31 12:50:00,1337.3905,1336.5775,35.7469,36.02
2019-12-31 12:55:00,1337.3036,1336.7,35.748000000000005,36.03
2019-12-31 13:00:00,1337.2264,1336.3101,35.7489,36.0
2019-12-31 13:05:00,1337.1479,1336.88,35.7504,36.015
2019-12-31 13:10:00,1337.0756,1337.2,35.7524,36.015
2019-12-31 13:15:00,1336.9883,1336.6899,35.7553,36.01
2019-12-31 13:20:00,1336.8978,1336.8,35.7577,35.99
2019-12-31 13:25:00,1336.7985,1337.0,35.7606,36.0
2019-12-31 13:30:00,1336.7117,1336.16,35.7634,35.98
2019-12-31 13:35:00,1336.6304,1335.5146,35.7662,35.98
2019-12-31 13:40:00,1336.5449,1336.4117,35.7683,35.975
2019-12-31 13:45:00,1336.4718,1336.85,35.7699,35.985
2019-12-31 13:50:00,1336.3736,1336.74,35.7715,35.985
2019-12-31 13:55:00,1336.2636,1336.62,35.7736,35.979
2019-12-31 14:00:00,1336.1671,1335.45,35.7767,35.965
2019-12-31 14:05:00,1336.0999,1335.1899,35.7791,35.955
2019-12-31 14:10:00,1336.0445,1334.5,35.7815,35.94
2019-12-31 14:15:00,1335.9665,1336.0,35.7834,35.94
2019-12-31 14:20:00,1335.865,1337.22,35.7861,35.945
2019-12-31 14:25:00,1335.8067,1336.97,35.7891,35.945
